alpha,beta,nn,test_acc,vali_acc
100.0,20.0,1,0.918253968254,0.935714285714
100.0,20.0,2,0.90746031746,0.914285714286
100.0,20.0,3,0.933015873016,0.95
100.0,20.0,4,0.926825396825,0.964285714286
100.0,200.0,1,0.922063492063,0.928571428571
100.0,200.0,2,0.905873015873,0.914285714286
100.0,200.0,3,0.932380952381,0.95
100.0,200.0,4,0.925555555556,0.957142857143
0.1,0.2,1,0.934464285714,0.935714285714
0.1,0.2,2,0.922142857143,0.910714285714
0.1,0.2,3,0.945,0.95
0.1,0.2,4,0.939642857143,0.942857142857
0.1,2.0,1,0.872142857143,0.889285714286
0.1,2.0,2,0.864107142857,0.889285714286
0.1,2.0,3,0.886964285714,0.892857142857
0.1,2.0,4,0.883571428571,0.907142857143
0.1,20.0,1,0.910714285714,0.921428571429
0.1,20.0,2,0.900357142857,0.914285714286
0.1,20.0,3,0.924821428571,0.932142857143
0.1,20.0,4,0.919464285714,0.939285714286
0.1,200.0,1,0.913214285714,0.928571428571
0.1,200.0,2,0.902857142857,0.917857142857
0.1,200.0,3,0.928035714286,0.939285714286
0.1,200.0,4,0.920892857143,0.942857142857
1.0,0.2,1,0.936428571429,0.935714285714
1.0,0.2,2,0.92375,0.910714285714
1.0,0.2,3,0.944464285714,0.946428571429
1.0,0.2,4,0.935714285714,0.939285714286
1.0,2.0,1,0.9425,0.95
1.0,2.0,2,0.927142857143,0.921428571429
1.0,2.0,3,0.949285714286,0.946428571429
1.0,2.0,4,0.942678571429,0.946428571429
1.0,20.0,1,0.902857142857,0.914285714286
1.0,20.0,2,0.892321428571,0.910714285714
1.0,20.0,3,0.918392857143,0.925
1.0,20.0,4,0.913035714286,0.928571428571
1.0,200.0,1,0.913214285714,0.928571428571
1.0,200.0,2,0.901785714286,0.917857142857
1.0,200.0,3,0.926607142857,0.935714285714
1.0,200.0,4,0.920892857143,0.939285714286
10.0,0.2,1,0.936607142857,0.935714285714
10.0,0.2,2,0.9225,0.907142857143
10.0,0.2,3,0.944107142857,0.95
10.0,0.2,4,0.934464285714,0.935714285714
10.0,2.0,1,0.936428571429,0.932142857143
10.0,2.0,2,0.922142857143,0.907142857143
10.0,2.0,3,0.94375,0.95
10.0,2.0,4,0.933928571429,0.935714285714
10.0,20.0,1,0.943214285714,0.946428571429
10.0,20.0,2,0.930535714286,0.928571428571
10.0,20.0,3,0.949821428571,0.939285714286
10.0,20.0,4,0.942142857143,0.935714285714
10.0,200.0,1,0.904821428571,0.921428571429
10.0,200.0,2,0.895,0.910714285714
10.0,200.0,3,0.920357142857,0.925
10.0,200.0,4,0.915714285714,0.932142857143
100.0,0.2,1,0.935535714286,0.939285714286
100.0,0.2,2,0.922321428571,0.907142857143
100.0,0.2,3,0.94375,0.95
100.0,0.2,4,0.934107142857,0.935714285714
100.0,2.0,1,0.935714285714,0.939285714286
100.0,2.0,2,0.922321428571,0.907142857143
100.0,2.0,3,0.94375,0.95
100.0,2.0,4,0.934107142857,0.935714285714
100.0,20.0,1,0.936964285714,0.939285714286
100.0,20.0,2,0.922678571429,0.907142857143
100.0,20.0,3,0.94375,0.95
100.0,20.0,4,0.934464285714,0.935714285714
100.0,200.0,1,0.943392857143,0.95
100.0,200.0,2,0.931071428571,0.928571428571
100.0,200.0,3,0.950178571429,0.939285714286
100.0,200.0,4,0.9425,0.935714285714
0.1,0.2,1,0.943333333333,0.923214285714
0.1,0.2,2,0.940476190476,0.932142857143
0.1,0.2,3,0.95119047619,0.942857142857
0.1,0.2,4,0.954523809524,0.953571428571
0.1,2.0,1,0.904285714286,0.867857142857
0.1,2.0,2,0.89380952381,0.864285714286
0.1,2.0,3,0.914761904762,0.896428571429
0.1,2.0,4,0.911428571429,0.892857142857
0.1,20.0,1,0.927380952381,0.896428571429
0.1,20.0,2,0.922857142857,0.901785714286
0.1,20.0,3,0.937619047619,0.926785714286
0.1,20.0,4,0.936666666667,0.933928571429
0.1,200.0,1,0.929047619048,0.892857142857
0.1,200.0,2,0.923333333333,0.898214285714
0.1,200.0,3,0.939047619048,0.925
0.1,200.0,4,0.938095238095,0.9375
1.0,0.2,1,0.940952380952,0.917857142857
1.0,0.2,2,0.932380952381,0.917857142857
1.0,0.2,3,0.947142857143,0.939285714286
1.0,0.2,4,0.945714285714,0.9375
1.0,2.0,1,0.944761904762,0.923214285714
1.0,2.0,2,0.945476190476,0.923214285714
1.0,2.0,3,0.951666666667,0.941071428571
1.0,2.0,4,0.951666666667,0.948214285714
